Service	Service_Tier	Opened_Date	Resolved_Date	State	Priority	Assignment_Group	Reassignment_Count	Reopened_Flag	Change_Related_Flag	Problem_ID	Channel
Mobile App	Tier 2	3/3/26 1:39	3/4/26 11:39	Closed	P3	Network Sec	3	0	0		Alert
Mobile App	Tier 2	1/13/26 4:38	1/14/26 2:38	Closed	P3	Network Sec	3	0	0	PRB1048	Alert
Customer Portal	Tier 1	4/6/25 6:21	4/8/25 14:21	Closed	P4	Service Desk	3	0	0	PRB1024	Phone
Payment Gateway	Tier 1	7/5/25 16:58	7/5/25 18:58	Closed	P3	Integration Ops	2	0	0	PRB1079	Alert
Customer Portal	Tier 1	3/5/26 14:31	3/7/26 1:31	Closed	P3	Web Team	6	1	0	PRB1078	Self Service
Customer Portal	Tier 1	8/9/25 5:34	8/12/25 21:34	Closed	P4	Web Team	2	0	0	PRB1074	Self Service
Customer Portal	Tier 1	11/24/25 10:04	11/29/25 5:04	Closed	P5	Web Team	3	1	0	PRB1020	Email
Customer Portal	Tier 1	2/2/26 18:30	2/7/26 11:30	Closed	P3	Service Desk	4	0	0	PRB1084	Phone
Customer Portal	Tier 1	6/24/25 9:23	6/25/25 11:23	Closed	P4	Web Team	6	1	0	PRB1017	Self Service
Customer Portal	Tier 1	6/17/25 6:58	6/19/25 18:58	Closed	P3	DBA Core	6	0	0	PRB1023	Alert
Customer Portal	Tier 1	11/3/25 18:00	11/7/25 9:00	Closed	P3	Web Team	6	0	0	PRB1023	Self Service
Payment Gateway	Tier 1	8/30/25 16:47	8/30/25 21:47	Closed	P2	Integration Ops	2	0	1	PRB1022	Alert
Customer Portal	Tier 1	8/4/25 1:04	8/7/25 20:04	Closed	P4	DBA Core	5	1	0	PRB1017	Alert
Customer Portal	Tier 1	4/2/25 21:46	4/6/25 9:46	Closed	P4	DBA Core	6	0	0	PRB1071	Alert
Payment Gateway	Tier 1	7/28/25 21:47	7/28/25 23:47	Closed	P3	Integration Ops	1	0	0	PRB1036	Alert
Customer Portal	Tier 1	4/3/25 5:14	4/4/25 22:14	Closed	P4	Service Desk	6	0	0	PRB1065	Phone
Customer Portal	Tier 1	9/18/25 20:14	9/23/25 13:14	Closed	P4	DBA Core	3	0	0	PRB1083	Alert
Payment Gateway	Tier 1	7/8/25 23:04	7/9/25 0:04	Closed	P3	Integration Ops	0	0	0	PRB1052	Alert
Customer Portal	Tier 1	1/27/26 16:08	1/30/26 18:08	Closed	P4	Service Desk	4	0	0	PRB1090	Phone
Payment Gateway	Tier 1	2/16/26 5:49	2/16/26 6:49	Closed	P1	Integration Ops	2	0	1	PRB1036	Alert
Mobile App	Tier 2	2/27/26 10:37	2/28/26 18:37	Closed	P3	Network Sec	2	0	0	PRB1043	Alert
Reporting Engine	Tier 3	9/26/25 5:15	9/27/25 5:15	Closed	P4	Platform Eng	0	0	0	PRB1069	Alert
Customer Portal	Tier 1	11/5/25 23:16	11/9/25 6:16	Closed	P4	Web Team	2	0	0	PRB1017	Email
Inventory System	Tier 3	4/17/25 2:17	4/17/25 7:17	Closed	P4	Platform Eng	1	0	0	PRB1061	Alert
Customer Portal	Tier 1	9/5/25 9:31	9/10/25 1:31	Closed	P3	Web Team	6	0	0	PRB1030	Self Service
Customer Portal	Tier 1	1/18/26 9:06	1/22/26 18:06	Closed	P3	Web Team	6	0	0	PRB1045	Self Service
Inventory System	Tier 3	1/22/26 2:45	1/22/26 20:45	Closed	P4	Platform Eng	1	0	0	PRB1061	Alert
Mobile App	Tier 2	1/14/26 10:21	1/16/26 9:21	Closed	P2	Network Sec	1	1	0	PRB1063	Alert
Customer Portal	Tier 1	11/6/25 23:53	11/8/25 3:53	Closed	P3	Service Desk	4	0	0	PRB1098	Phone
Customer Portal	Tier 1	5/9/25 11:24	5/13/25 12:24	Closed	P4	Web Team	4	0	0	PRB1016	Email
Payment Gateway	Tier 1	12/27/25 16:59	12/27/25 17:59	Closed	P1	Integration Ops	2	0	1	PRB1014	Alert
Customer Portal	Tier 1	9/6/25 7:34	9/11/25 1:34	Closed	P4	DBA Core	2	0	0	PRB1044	Alert
Customer Portal	Tier 1	9/8/25 13:20	9/9/25 22:20	Closed	P4	DBA Core	5	1	0	PRB1024	Alert
Customer Portal	Tier 1	10/13/25 13:24	10/17/25 11:24	Closed	P4	Service Desk	4	0	0	PRB1016	Phone
Customer Portal	Tier 1	5/3/25 3:10	5/5/25 7:10	Closed	P3	Service Desk	3	0	0	PRB1090	Phone
Inventory System	Tier 3	8/4/25 3:47	8/4/25 5:47	Closed	P4	Platform Eng	0	0	0	PRB1070	Alert
Payment Gateway	Tier 1	4/11/25 12:49	4/11/25 14:49	Closed	P1	Integration Ops	2	0	1		Alert
Customer Portal	Tier 1	4/14/25 15:24	4/18/25 16:24	Closed	P5	DBA Core	5	0	0	PRB1075	Alert
Customer Portal	Tier 1	5/5/25 20:09	5/8/25 16:09	Closed	P4	Service Desk	5	0	0	PRB1092	Phone
Inventory System	Tier 3	3/5/26 16:27	3/6/26 10:27	Closed	P4	Platform Eng	0	0	0	PRB1066	Alert
Inventory System	Tier 3	5/18/25 21:38	5/19/25 4:38	Closed	P4	Platform Eng	0	0	0	PRB1050	Alert
Customer Portal	Tier 1	6/1/25 5:39	6/3/25 13:39	Closed	P4	Web Team	6	0	0	PRB1017	Email
Payment Gateway	Tier 1	9/28/25 4:19	9/28/25 6:19	Closed	P2	Integration Ops	0	0	0	PRB1064	Alert
Payment Gateway	Tier 1	2/7/26 4:56	2/7/26 10:56	Closed	P2	Integration Ops	2	0	1	PRB1073	Alert
Inventory System	Tier 3	11/21/25 2:46	11/21/25 5:46	Closed	P4	Platform Eng	0	0	0	PRB1021	Alert
Mobile App	Tier 2	11/20/25 3:49	11/21/25 22:49	Closed	P3	Network Sec	1	0	0	PRB1046	Alert
Customer Portal	Tier 1	6/20/25 2:25	6/23/25 15:25	Closed	P4	DBA Core	4	0	0	PRB1060	Alert
Mobile App	Tier 2	5/17/25 9:24	5/17/25 16:24	Closed	P3	Network Sec	2	0	0	PRB1081	Alert
Customer Portal	Tier 1	7/19/25 0:14	7/23/25 19:14	Closed	P4	Service Desk	4	0	0	PRB1062	Phone
Mobile App	Tier 2	10/21/25 2:58	10/22/25 14:58	Closed	P4	Network Sec	2	1	0	PRB1042	Alert
Customer Portal	Tier 1	4/5/25 15:40	4/7/25 3:40	Closed	P3	Service Desk	4	0	0	PRB1029	Phone
Customer Portal	Tier 1	10/27/25 8:26	10/30/25 1:26	Closed	P4	DBA Core	5	1	0	PRB1030	Alert
Mobile App	Tier 2	9/26/25 16:46	9/28/25 1:46	Closed	P2	Network Sec	1	0	0	PRB1054	Alert
Reporting Engine	Tier 3	9/29/25 7:05	9/29/25 21:05	Closed	P4	Platform Eng	0	0	0	PRB1008	Alert
Customer Portal	Tier 1	11/4/25 1:16	11/7/25 16:16	Closed	P3	DBA Core	4	1	0	PRB1058	Alert
Reporting Engine	Tier 3	2/9/26 0:13	2/9/26 2:13	Closed	P4	Platform Eng	1	0	0	PRB1076	Alert
Customer Portal	Tier 1	8/19/25 13:41	8/20/25 18:41	Closed	P3	Web Team	4	0	0	PRB1068	Self Service
Customer Portal	Tier 1	9/7/25 21:36	9/11/25 13:36	Closed	P4	Web Team	6	0	0	PRB1071	Self Service
Mobile App	Tier 2	4/23/25 13:08	4/24/25 1:08	Closed	P3	Network Sec	3	0	0	PRB1013	Alert
Customer Portal	Tier 1	11/5/25 23:21	11/8/25 0:21	Closed	P4	Web Team	6	0	0	PRB1029	Email
Payment Gateway	Tier 1	1/23/26 5:30	1/23/26 11:30	Closed	P2	Integration Ops	0	0	1	PRB1079	Alert
Customer Portal	Tier 1	5/19/25 2:37	5/21/25 18:37	Closed	P4	DBA Core	6	1	0		Alert
Customer Portal	Tier 1	9/23/25 5:42	9/27/25 1:42	Closed	P4	Web Team	6	0	0	PRB1090	Self Service
Mobile App	Tier 2	8/25/25 18:26	8/26/25 5:26	Closed	P3	Network Sec	1	0	0	PRB1077	Alert
Payment Gateway	Tier 1	11/3/25 19:36	11/3/25 20:36	Closed	P2	Integration Ops	2	0	0	PRB1073	Alert
Customer Portal	Tier 1	9/19/25 14:06	9/23/25 16:06	Closed	P5	DBA Core	6	1	0	PRB1011	Alert
Customer Portal	Tier 1	10/25/25 8:44	10/26/25 12:44	Closed	P4	DBA Core	5	1	0	PRB1041	Alert
Inventory System	Tier 3	7/16/25 19:49	7/17/25 11:49	Closed	P4	Platform Eng	0	0	0	PRB1007	Alert
Customer Portal	Tier 1	2/18/26 23:15	2/22/26 11:15	Closed	P4	Service Desk	5	0	0		Phone
Mobile App	Tier 2	7/21/25 5:40	7/22/25 20:40	Closed	P4	Network Sec	3	1	0	PRB1025	Alert
Reporting Engine	Tier 3	9/11/25 12:22	9/11/25 19:22	Closed	P4	Platform Eng	1	0	0	PRB1056	Alert
Reporting Engine	Tier 3	11/21/25 20:04	11/22/25 19:04	Closed	P4	Platform Eng	1	0	0		Alert
Mobile App	Tier 2	10/19/25 17:44	10/20/25 14:44	Closed	P3	Network Sec	2	0	0	PRB1027	Alert
Customer Portal	Tier 1	9/19/25 8:05	9/22/25 0:05	Closed	P5	Web Team	4	0	0	PRB1088	Email
Customer Portal	Tier 1	10/13/25 22:54	10/18/25 12:54	Closed	P5	DBA Core	4	0	0	PRB1098	Alert
Customer Portal	Tier 1	4/16/25 16:36	4/21/25 11:36	Closed	P5	Web Team	3	0	0	PRB1058	Self Service
Customer Portal	Tier 1	10/21/25 6:23	10/23/25 16:23	Closed	P4	Web Team	5	1	0	PRB1093	Email
Mobile App	Tier 2	4/5/25 17:10	4/6/25 12:10	Closed	P2	Network Sec	3	0	0	PRB1027	Alert
Mobile App	Tier 2	7/23/25 6:33	7/24/25 12:33	Closed	P3	Network Sec	3	0	0	PRB1013	Alert
Mobile App	Tier 2	8/22/25 0:39	8/22/25 14:39	Closed	P2	Network Sec	1	1	0	PRB1055	Alert
Mobile App	Tier 2	7/19/25 17:29	7/20/25 15:29	Closed	P4	Network Sec	2	0	0	PRB1025	Alert
Customer Portal	Tier 1	8/26/25 6:58	8/28/25 4:58	Closed	P3	Service Desk	6	1	0	PRB1006	Phone
Inventory System	Tier 3	5/28/25 8:33	5/29/25 1:33	Closed	P4	Platform Eng	0	0	0	PRB1066	Alert
Reporting Engine	Tier 3	10/23/25 13:47	10/24/25 0:47	Closed	P4	Platform Eng	0	0	0	PRB1005	Alert
Payment Gateway	Tier 1	2/25/26 8:30	2/25/26 16:30	Closed	P3	Integration Ops	1	0	1	PRB1073	Alert
Reporting Engine	Tier 3	7/23/25 10:11	7/23/25 15:11	Closed	P4	Platform Eng	1	0	0	PRB1015	Alert
Customer Portal	Tier 1	10/23/25 12:06	10/26/25 1:06	Closed	P4	Web Team	3	1	0	PRB1065	Self Service
Mobile App	Tier 2	2/1/26 4:06	2/2/26 9:06	Closed	P2	Network Sec	3	0	0	PRB1096	Alert
Customer Portal	Tier 1	7/20/25 16:11	7/24/25 5:11	Closed	P4	Web Team	2	1	0	PRB1024	Email
Inventory System	Tier 3	9/6/25 11:52	9/6/25 20:52	Closed	P4	Platform Eng	1	0	0	PRB1066	Alert
Mobile App	Tier 2	6/26/25 13:51	6/26/25 17:51	Closed	P4	Network Sec	2	0	0	PRB1057	Alert
Mobile App	Tier 2	5/18/25 0:40	5/18/25 23:40	Closed	P3	Network Sec	1	0	0	PRB1048	Alert
Customer Portal	Tier 1	8/6/25 17:45	8/9/25 6:45	Closed	P4	DBA Core	4	0	0		Alert
Payment Gateway	Tier 1	8/25/25 11:57	8/25/25 17:57	Closed	P1	Integration Ops	0	0	1	PRB1052	Alert
Mobile App	Tier 2	1/6/26 21:02	1/7/26 14:02	Closed	P4	Network Sec	3	0	0	PRB1094	Alert
Customer Portal	Tier 1	3/8/26 5:20	3/9/26 14:20	Closed	P4	Service Desk	6	0	0	PRB1068	Phone
Payment Gateway	Tier 1	5/19/25 21:35	5/20/25 0:35	Closed	P1	Integration Ops	2	0	0	PRB1026	Alert
Customer Portal	Tier 1	3/1/26 2:15	3/2/26 13:15	Closed	P4	Service Desk	3	0	0	PRB1088	Phone
Payment Gateway	Tier 1	10/22/25 0:01	10/22/25 8:01	Closed	P3	Integration Ops	1	0	1	PRB1047	Alert
Customer Portal	Tier 1	6/9/25 14:59	6/14/25 13:59	Closed	P4	Web Team	2	0	0	PRB1002	Self Service
Payment Gateway	Tier 1	2/27/26 6:43	2/27/26 7:43	Closed	P1	Integration Ops	1	0	0	PRB1053	Alert
Customer Portal	Tier 1	12/25/25 5:28	12/29/25 15:28	Closed	P5	Service Desk	4	0	0	PRB1024	Phone
Payment Gateway	Tier 1	8/9/25 21:16	8/10/25 4:16	Closed	P2	Integration Ops	1	0	1		Alert
Customer Portal	Tier 1	5/25/25 7:29	5/26/25 22:29	Closed	P5	DBA Core	3	0	0	PRB1067	Alert
Reporting Engine	Tier 3	2/4/26 5:06	2/4/26 14:06	Closed	P4	Platform Eng	0	0	0		Alert
Customer Portal	Tier 1	10/9/25 13:58	10/12/25 19:58	Closed	P3	Web Team	5	0	0	PRB1093	Email
Customer Portal	Tier 1	1/8/26 6:52	1/13/26 2:52	Closed	P3	Web Team	4	1	0	PRB1038	Self Service
Customer Portal	Tier 1	6/5/25 0:49	6/7/25 6:49	Closed	P4	Web Team	6	0	0	PRB1003	Email
Customer Portal	Tier 1	12/29/25 14:20	12/31/25 21:20	Closed	P4	Web Team	6	0	0	PRB1011	Self Service
Customer Portal	Tier 1	9/28/25 16:38	9/30/25 9:38	Closed	P4	DBA Core	3	0	0	PRB1011	Alert
Inventory System	Tier 3	1/11/26 0:34	1/11/26 21:34	Closed	P4	Platform Eng	1	0	0		Alert
Mobile App	Tier 2	6/10/25 20:16	6/12/25 9:16	Closed	P3	Network Sec	2	0	0	PRB1077	Alert
Customer Portal	Tier 1	12/5/25 14:24	12/9/25 22:24	Closed	P3	DBA Core	6	0	0	PRB1035	Alert
Customer Portal	Tier 1	8/25/25 16:25	8/30/25 9:25	Closed	P4	Web Team	5	0	0	PRB1062	Self Service
Customer Portal	Tier 1	2/13/26 0:51	2/15/26 14:51	Closed	P3	Service Desk	6	0	0	PRB1040	Phone
Mobile App	Tier 2	10/19/25 10:17	10/20/25 16:17	Closed	P4	Network Sec	1	0	0		Alert
Payment Gateway	Tier 1	3/10/26 3:46	3/10/26 5:46	Closed	P1	Integration Ops	1	0	1	PRB1073	Alert
Customer Portal	Tier 1	11/6/25 22:43	11/11/25 12:43	Closed	P4	DBA Core	3	1	0	PRB1071	Alert
Payment Gateway	Tier 1	9/19/25 4:16	9/19/25 8:16	Closed	P3	Integration Ops	0	0	0	PRB1064	Alert
Customer Portal	Tier 1	5/1/25 13:27	5/6/25 11:27	Closed	P5	Web Team	2	1	0	PRB1038	Self Service
Mobile App	Tier 2	8/18/25 0:52	8/18/25 17:52	Closed	P4	Network Sec	1	0	0	PRB1081	Alert
Reporting Engine	Tier 3	10/10/25 5:58	10/10/25 21:58	Closed	P4	Platform Eng	1	0	0	PRB1059	Alert
Payment Gateway	Tier 1	4/24/25 7:05	4/24/25 15:05	Closed	P1	Integration Ops	1	0	1	PRB1052	Alert
Mobile App	Tier 2	8/24/25 18:06	8/25/25 18:06	Closed	P4	Network Sec	2	0	0	PRB1042	Alert
Customer Portal	Tier 1	10/27/25 22:00	11/1/25 0:00	Closed	P4	DBA Core	3	1	0	PRB1097	Alert
Mobile App	Tier 2	2/3/26 15:30	2/5/26 7:30	Closed	P3	Network Sec	1	0	0	PRB1043	Alert
Customer Portal	Tier 1	11/21/25 5:01	11/26/25 1:01	Closed	P4	DBA Core	4	0	0	PRB1088	Alert
Mobile App	Tier 2	12/21/25 17:48	12/22/25 5:48	Closed	P3	Network Sec	3	0	0	PRB1019	Alert
Payment Gateway	Tier 1	2/5/26 20:41	2/5/26 21:41	Closed	P1	Integration Ops	2	0	0	PRB1004	Alert
Mobile App	Tier 2	5/9/25 9:30	5/10/25 15:30	Closed	P4	Network Sec	3	1	0	PRB1001	Alert
Mobile App	Tier 2	9/10/25 2:19	9/11/25 14:19	Closed	P3	Network Sec	3	0	0	PRB1025	Alert
Customer Portal	Tier 1	3/19/25 13:37	3/20/25 15:37	Closed	P4	DBA Core	6	0	0	PRB1088	Alert
Payment Gateway	Tier 1	3/23/25 15:46	3/23/25 20:46	Closed	P2	Integration Ops	0	0	1	PRB1032	Alert
Payment Gateway	Tier 1	4/27/25 13:27	4/27/25 16:27	Closed	P2	Integration Ops	1	0	0		Alert
Inventory System	Tier 3	10/7/25 10:55	10/8/25 7:55	Closed	P4	Platform Eng	0	0	0	PRB1031	Alert
Customer Portal	Tier 1	10/22/25 10:12	10/25/25 20:12	Closed	P4	Web Team	2	0	0	PRB1074	Self Service
Customer Portal	Tier 1	4/22/25 7:29	4/23/25 11:29	Closed	P4	Web Team	2	0	0		Email
Customer Portal	Tier 1	9/27/25 3:01	9/28/25 13:01	Closed	P4	Web Team	2	0	0	PRB1030	Self Service
Mobile App	Tier 2	2/27/26 12:03	2/27/26 22:03	Closed	P3	Network Sec	2	0	0	PRB1095	Alert
Payment Gateway	Tier 1	6/30/25 6:47	6/30/25 14:47	Closed	P1	Integration Ops	0	0	0	PRB1079	Alert
Customer Portal	Tier 1	2/10/26 6:33	2/12/26 4:33	Closed	P3	Web Team	6	0	0	PRB1006	Self Service
Customer Portal	Tier 1	7/11/25 5:27	7/12/25 14:27	Closed	P5	DBA Core	3	0	0	PRB1074	Alert
Customer Portal	Tier 1	12/23/25 5:41	12/27/25 21:41	Closed	P3	Web Team	6	0	0	PRB1024	Email
Customer Portal	Tier 1	7/27/25 6:33	7/28/25 15:33	Closed	P4	Web Team	2	1	0	PRB1040	Self Service
Payment Gateway	Tier 1	3/28/25 12:07	3/28/25 18:07	Closed	P2	Integration Ops	2	0	1	PRB1086	Alert
Payment Gateway	Tier 1	8/31/25 17:06	9/1/25 0:06	Closed	P2	Integration Ops	1	0	1	PRB1036	Alert
Customer Portal	Tier 1	12/18/25 22:39	12/21/25 5:39	Closed	P4	Web Team	2	0	0	PRB1058	Email
Customer Portal	Tier 1	4/27/25 9:07	4/30/25 7:07	Closed	P3	Web Team	3	0	0	PRB1062	Self Service
Customer Portal	Tier 1	4/19/25 21:40	4/21/25 13:40	Closed	P5	Web Team	4	0	0	PRB1020	Email
Customer Portal	Tier 1	8/1/25 10:43	8/2/25 21:43	Closed	P4	DBA Core	6	0	0	PRB1003	Alert
Payment Gateway	Tier 1	8/24/25 16:59	8/24/25 21:59	Closed	P2	Integration Ops	1	0	0	PRB1004	Alert
Customer Portal	Tier 1	8/11/25 20:40	8/16/25 11:40	Closed	P3	DBA Core	3	0	0	PRB1030	Alert
Customer Portal	Tier 1	7/2/25 4:09	7/5/25 11:09	Closed	P3	Web Team	5	1	0	PRB1030	Self Service
Customer Portal	Tier 1	11/14/25 17:44	11/19/25 13:44	Closed	P4	Service Desk	4	0	0	PRB1041	Phone
Customer Portal	Tier 1	7/24/25 0:29	7/27/25 2:29	Closed	P4	Web Team	2	1	0	PRB1002	Email
Mobile App	Tier 2	11/2/25 20:08	11/4/25 17:08	Closed	P3	Network Sec	2	0	0	PRB1046	Alert
Customer Portal	Tier 1	7/18/25 22:34	7/22/25 0:34	Closed	P4	DBA Core	3	0	0	PRB1035	Alert
Customer Portal	Tier 1	7/3/25 20:35	7/6/25 20:35	Closed	P4	Web Team	6	0	0	PRB1062	Self Service
Mobile App	Tier 2	10/14/25 21:37	10/16/25 14:37	Closed	P3	Network Sec	1	0	0	PRB1025	Alert
Customer Portal	Tier 1	1/20/26 18:58	1/24/26 2:58	Closed	P4	Service Desk	5	0	0	PRB1039	Phone
Customer Portal	Tier 1	6/23/25 3:09	6/25/25 9:09	Closed	P4	Web Team	5	1	0	PRB1060	Email
Mobile App	Tier 2	10/29/25 2:54	10/30/25 12:54	Closed	P4	Network Sec	2	1	0	PRB1063	Alert
Customer Portal	Tier 1	2/27/26 18:40	3/4/26 11:40	Closed	P4	DBA Core	5	0	0	PRB1068	Alert
Mobile App	Tier 2	11/30/25 3:23	12/2/25 1:23	Closed	P3	Network Sec	1	1	0	PRB1027	Alert
Customer Portal	Tier 1	1/3/26 7:30	1/6/26 10:30	Closed	P4	Service Desk	6	0	0		Phone
Customer Portal	Tier 1	1/1/26 1:10	1/4/26 18:10	Closed	P4	Service Desk	2	1	0	PRB1040	Phone
Payment Gateway	Tier 1	9/12/25 20:03	9/13/25 3:03	Closed	P2	Integration Ops	2	0	1	PRB1036	Alert
Mobile App	Tier 2	4/26/25 14:28	4/28/25 0:28	Closed	P3	Network Sec	3	0	0	PRB1001	Alert
Customer Portal	Tier 1	7/16/25 3:01	7/18/25 23:01	Closed	P5	Service Desk	2	0	0	PRB1029	Phone
Customer Portal	Tier 1	12/22/25 9:28	12/25/25 17:28	Closed	P4	DBA Core	5	0	0	PRB1020	Alert
Mobile App	Tier 2	3/25/25 18:30	3/26/25 5:30	Closed	P3	Network Sec	2	1	0	PRB1081	Alert
Mobile App	Tier 2	10/3/25 9:24	10/4/25 4:24	Closed	P3	Network Sec	3	0	0		Alert
Customer Portal	Tier 1	11/16/25 13:47	11/19/25 16:47	Closed	P3	DBA Core	5	0	0	PRB1040	Alert
Customer Portal	Tier 1	9/7/25 14:20	9/9/25 15:20	Closed	P4	Web Team	5	1	0		Self Service
Payment Gateway	Tier 1	10/27/25 5:16	10/27/25 7:16	Closed	P1	Integration Ops	2	0	1	PRB1032	Alert
Customer Portal	Tier 1	6/26/25 21:18	6/28/25 11:18	Closed	P4	Service Desk	4	0	0	PRB1083	Phone
Mobile App	Tier 2	8/16/25 10:46	8/18/25 5:46	Closed	P3	Network Sec	3	0	0	PRB1043	Alert
Payment Gateway	Tier 1	3/8/26 18:44	3/8/26 23:44	Closed	P1	Integration Ops	1	0	0	PRB1091	Alert
Payment Gateway	Tier 1	5/1/25 10:02	5/1/25 15:02	Closed	P1	Integration Ops	0	0	1	PRB1026	Alert
Customer Portal	Tier 1	8/13/25 0:26	8/17/25 1:26	Closed	P4	DBA Core	5	0	0	PRB1024	Alert
Customer Portal	Tier 1	5/10/25 11:39	5/12/25 23:39	Closed	P4	DBA Core	3	0	0	PRB1088	Alert
Customer Portal	Tier 1	5/9/25 0:35	5/12/25 14:35	Closed	P4	DBA Core	2	0	0	PRB1002	Alert
Customer Portal	Tier 1	9/23/25 23:13	9/28/25 14:13	Closed	P4	DBA Core	6	0	0	PRB1075	Alert
Customer Portal	Tier 1	7/8/25 10:28	7/10/25 14:28	Closed	P4	Web Team	3	1	0	PRB1003	Email
Customer Portal	Tier 1	1/11/26 0:39	1/15/26 23:39	Closed	P3	Web Team	3	0	0	PRB1098	Self Service
Mobile App	Tier 2	1/30/26 17:33	2/1/26 7:33	Closed	P3	Network Sec	1	0	0	PRB1033	Alert
Inventory System	Tier 3	8/29/25 2:43	8/29/25 10:43	Closed	P4	Platform Eng	1	0	0		Alert
Customer Portal	Tier 1	6/27/25 1:36	6/30/25 10:36	Closed	P4	Service Desk	4	0	0	PRB1006	Phone
Customer Portal	Tier 1	1/25/26 20:17	1/27/26 22:17	Closed	P4	Web Team	2	0	0	PRB1041	Email
Mobile App	Tier 2	11/11/25 6:56	11/11/25 20:56	Closed	P3	Network Sec	3	0	0	PRB1046	Alert
Customer Portal	Tier 1	11/3/25 19:07	11/6/25 6:07	Closed	P3	Service Desk	2	0	0	PRB1093	Phone
